what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"es_AR",1652829438520
processors,sysinfo,,,"2",1652829438520
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1652829438520
java.runtime.version,sysinfo,,,"1.8.0_312-8u312-b07-0ubuntu1~18.04-b07",1652829438520
java.specification.name,sysinfo,,,"Java Platform API Specification",1652829438520
java.specification.vendor,sysinfo,,,"Oracle Corporation",1652829438520
java.specification.version,sysinfo,,,"1.8",1652829438520
java.vendor,sysinfo,,,"Private Build",1652829438520
java.version,sysinfo,,,"1.8.0_312",1652829438520
java.vm.info,sysinfo,,,"mixed mode",1652829438520
java.vm.name,sysinfo,,,"OpenJDK Server VM",1652829438520
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1652829438520
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1652829438520
java.vm.specification.version,sysinfo,,,"1.8",1652829438520
java.vm.vendor,sysinfo,,,"Private Build",1652829438520
java.vm.version,sysinfo,,,"25.312-b07",1652829438520
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1652829438753
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1652829439225
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1652829439482
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1652829439625
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1652829439755
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1652829439800
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1652829440102
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1652829440164
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1652829440195
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1652829440426
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1652829440459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829451346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829601730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829605689
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829610149
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829610415
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829610642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829704322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829712536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829715803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829718403
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829727552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829736428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829739231
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829741967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829789775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829795095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829801029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829802931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829813619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829817404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829819400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829879584
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829882554
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829892950
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829899182
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829904495
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829915417
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829918524
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829927342
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829931631
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829931740
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829934713
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829945782
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829951280
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829959398
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652829963792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829978969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652829991887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652830011192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652830014311
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1652830080615
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830221081
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830234235
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830239563
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830243186
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830247940
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830281174
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830286328
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830305063
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830307672
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830334241
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1652830339279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1652830490428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652830495601
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1652830498588
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1652830500703
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1652830501412
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1652830501513
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1652830501546
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1652830501579
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1652830501644
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1652830501770
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1652830501812
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1652830501941
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1652830502007
